Company,Job Role,Job Description,Min CGPA,Required Skills
TCS,Assistant System Engineer,Software development & testing,6,"Java, Python, SQL, OOP"
Infosys,Systems Engineer,Application development & support,6,"Java, Python, DBMS, OS"
Wipro,Project Engineer,Software development & maintenance,6,"Java, C++, SQL"
Accenture,Associate Software Engineer,Develop enterprise applications,6.5,"Java, Python, Cloud"
Cognizant,Programmer Analyst,Software development & testing,6.5,"Java, SQL, Aptitude"
Capgemini,Software Engineer,Development and support,6,"Java, Python, SQL"
HCLTech,Graduate Engineer Trainee,IT support & development,6,"C, Java, Networking"
Tech Mahindra,Software Engineer,Application development,6,"Java, SQL, Linux"
LTIMindtree,Software Engineer,Software solutions,6.5,"Java, Python, DBMS"
Mphasis,Associate Software Engineer,Development & testing,6,"Java, SQL"
IBM,Associate System Engineer,Cloud & software solutions,6.5,"Java, Python, Cloud"
Oracle,Software Developer,Enterprise software development,7,"Java, SQL, DSA"
Microsoft,Software Engineer,Design & build software,7.5,"DSA, C++, System Design"
Google,Software Engineer,Develop scalable systems,7.5,"DSA, Algorithms, Python"
Amazon,SDE I,Build cloud applications,7,"DSA, Java, AWS"
Adobe,Software Engineer,Creative software products,7.5,"C++, DSA"
SAP,Developer Associate,ERP software development,7,"Java, SQL"
Intel,Graduate Engineer,Chip/software development,7,"C++, OS"
NVIDIA,Software Engineer,GPU software,8,"C++, CUDA, DSA"
Qualcomm,Engineer,Embedded software,7.5,"C, C++, Embedded"
Cisco,Software Engineer,Networking software,7,"Networking, Python"
Dell,Software Engineer,Infrastructure software,6.5,"Java, Linux"
VMware,MTS,Virtualization software,7.5,"Java, OS"
ServiceNow,Software Engineer,Cloud platform development,7.5,"JavaScript, Java"
Salesforce,Software Engineer,CRM platform development,7.5,"Java, Apex"
PayPal,Software Engineer,Payment systems,7.5,"Java, Spring"
Goldman Sachs,Analyst,Finance technology,7.5,"Java, DSA"
JPMorgan Chase,Software Engineer,Banking applications,7,"Java, SQL"
Morgan Stanley,Technology Analyst,Financial software,7.5,"Java, DSA"
Deloitte,Analyst,Technology consulting,6.5,"SQL, Excel, Python"
EY,Technology Consultant,IT consulting,6.5,"SQL, Cloud"
KPMG,Analyst,Data & technology consulting,6.5,"Excel, SQL"
PwC,Associate,Business technology,6.5,"SQL, Python"
ZS Associates,Business Technology Analyst,Analytics solutions,7,"SQL, Python, Excel"
Flipkart,Software Engineer,E-commerce platform,7.5,"Java, DSA"
Meesho,Software Engineer,Backend development,7.5,"Java, DSA"
Swiggy,SDE,Food delivery platform,7,"Java, Microservices"
Zomato,Software Engineer,Application development,7,"Java, APIs"
PhonePe,Software Engineer,FinTech platform,7.5,"Java, SQL"
Razorpay,Backend Engineer,Payment gateway,7.5,"Java, Spring Boot"
